,close,Search Trends,DayOfWeek
2020-01-10 03:00:00,,75.0,2
2020-01-10 04:00:00,,59.0,2
2020-01-10 05:00:00,,38.0,2
2020-01-10 06:00:00,,19.0,2
2020-01-10 07:00:00,,12.0,2
2020-01-10 08:00:00,,9.0,2
2020-01-10 09:00:00,652.845,9.0,2
2020-01-10 10:00:00,658.99,17.0,2
2020-01-10 11:00:00,661.485,27.0,2
2020-01-10 12:00:00,662.52,39.0,2
2020-01-10 13:00:00,667.365,49.0,2
2020-01-10 14:00:00,666.89,57.0,2
2020-01-10 15:00:00,669.825,63.0,2
2020-01-10 16:00:00,,64.0,2
2020-01-10 17:00:00,,69.0,2
2020-01-10 18:00:00,,69.0,2
2020-01-10 19:00:00,,72.0,2
2020-01-10 20:00:00,,76.0,2
2020-01-10 21:00:00,,74.0,2
2020-01-10 22:00:00,,83.0,2
2020-01-10 23:00:00,,86.0,2
2020-01-11 00:00:00,,86.0,2
2020-01-11 01:00:00,,88.0,2
2020-01-11 02:00:00,,82.0,2
2020-01-11 03:00:00,,76.0,2
2020-01-11 04:00:00,,54.0,2
2020-01-11 05:00:00,,42.0,2
2020-01-11 06:00:00,,26.0,2
2020-01-11 07:00:00,,14.0,2
2020-01-11 08:00:00,,9.0,2
2020-01-11 09:00:00,,9.0,2
2020-01-11 10:00:00,,13.0,2
2020-01-11 11:00:00,,21.0,2
2020-01-11 12:00:00,,31.0,2
2020-01-11 13:00:00,,41.0,2
2020-01-11 14:00:00,,47.0,2
2020-01-11 15:00:00,,54.0,2
2020-01-11 16:00:00,,55.0,2
2020-01-11 17:00:00,,57.0,2
2020-01-11 18:00:00,,59.0,2
2020-01-11 19:00:00,,57.0,2
2020-01-11 20:00:00,,59.0,2
2020-01-11 21:00:00,,64.0,2
2020-01-11 22:00:00,,71.0,2
2020-01-11 23:00:00,,74.0,2
2020-01-12 00:00:00,,77.0,2
2020-01-12 01:00:00,,79.0,2
2020-01-12 02:00:00,,76.0,2
2020-01-12 03:00:00,,67.0,2
2020-01-12 04:00:00,,56.0,2
2020-01-12 05:00:00,,39.0,2
2020-01-12 06:00:00,,27.0,2
2020-01-12 07:00:00,,16.0,2
2020-01-12 08:00:00,,9.0,2
2020-01-12 09:00:00,,8.0,2
2020-01-12 10:00:00,,9.0,2
2020-01-12 11:00:00,,15.0,2
2020-01-12 12:00:00,,24.0,2
2020-01-12 13:00:00,,33.0,2
2020-01-12 14:00:00,,43.0,2
2020-01-12 15:00:00,,47.0,2
2020-01-12 16:00:00,,50.0,2
2020-01-12 17:00:00,,52.0,2
2020-01-12 18:00:00,,54.0,2
2020-01-12 19:00:00,,51.0,2
2020-01-12 20:00:00,,55.0,2
2020-01-12 21:00:00,,62.0,2
2020-01-12 22:00:00,,74.0,2
2020-01-12 23:00:00,,84.0,2
2020-01-13 00:00:00,,87.0,3
2020-01-13 01:00:00,,87.0,3
2020-01-13 02:00:00,,82.0,3
2020-01-13 03:00:00,,70.0,3
2020-01-13 04:00:00,,55.0,3
2020-01-13 05:00:00,,35.0,3
2020-01-13 06:00:00,,20.0,3
2020-01-13 07:00:00,,11.0,3
2020-01-13 08:00:00,,8.0,3
2020-01-13 09:00:00,685.54,8.0,3
2020-01-13 10:00:00,690.28,14.0,3
2020-01-13 11:00:00,695.93,25.0,3
2020-01-13 12:00:00,694.285,39.0,3
2020-01-13 13:00:00,690.1,50.0,3
2020-01-13 14:00:00,690.05,59.0,3
2020-01-13 15:00:00,691.19,64.0,3
2020-01-13 16:00:00,,68.0,3
2020-01-13 17:00:00,,71.0,3
2020-01-13 18:00:00,,73.0,3
2020-01-13 19:00:00,,78.0,3
2020-01-13 20:00:00,,80.0,3
2020-01-13 21:00:00,,81.0,3
2020-01-13 22:00:00,,92.0,3
2020-01-13 23:00:00,,100.0,3
2020-01-14 00:00:00,,100.0,3
2020-01-14 01:00:00,,96.0,3
2020-01-14 02:00:00,,90.0,3
2020-01-14 03:00:00,,75.0,3
2020-01-14 04:00:00,,56.0,3
2020-01-14 05:00:00,,36.0,3
2020-01-14 06:00:00,,19.0,3
2020-01-14 07:00:00,,11.0,3
2020-01-14 08:00:00,,8.0,3
2020-01-14 09:00:00,679.64,9.0,3
2020-01-14 10:00:00,666.27,15.0,3
2020-01-14 11:00:00,661.08,26.0,3
2020-01-14 12:00:00,655.05,39.0,3
2020-01-14 13:00:00,654.16,53.0,3
2020-01-14 14:00:00,651.78,61.0,3
2020-01-14 15:00:00,652.33,65.0,3
2020-01-14 16:00:00,,67.0,3
2020-01-14 17:00:00,,71.0,3
2020-01-14 18:00:00,,75.0,3
2020-01-14 19:00:00,,76.0,3
2020-01-14 20:00:00,,78.0,3
2020-01-14 21:00:00,,85.0,3
2020-01-14 22:00:00,,92.0,3
2020-01-14 23:00:00,,99.0,3
2020-01-15 00:00:00,,100.0,3
2020-01-15 01:00:00,,94.0,3
2020-01-15 02:00:00,,85.0,3
2020-01-15 03:00:00,,73.0,3
2020-01-15 04:00:00,,56.0,3
2020-01-15 05:00:00,,35.0,3
2020-01-15 06:00:00,,19.0,3
2020-01-15 07:00:00,,11.0,3
2020-01-15 08:00:00,,8.0,3
2020-01-15 09:00:00,656.21,9.0,3
2020-01-15 10:00:00,660.12,15.0,3
2020-01-15 11:00:00,660.885,26.0,3
2020-01-15 12:00:00,657.44,39.0,3
2020-01-15 13:00:00,654.81,51.0,3
2020-01-15 14:00:00,659.14,60.0,3
2020-01-15 15:00:00,660.21,66.0,3
2020-01-15 16:00:00,,66.0,3
2020-01-15 17:00:00,,67.0,3
2020-01-15 18:00:00,,72.0,3
2020-01-15 19:00:00,,76.0,3
2020-01-15 20:00:00,,76.0,3
2020-01-15 21:00:00,,81.0,3
2020-01-15 22:00:00,,91.0,3
2020-01-15 23:00:00,,100.0,3
2020-01-16 00:00:00,,100.0,3
2020-01-16 01:00:00,,91.0,3
2020-01-16 02:00:00,,83.0,3
2020-01-16 03:00:00,,70.0,3
2020-01-16 04:00:00,,54.0,3
2020-01-16 05:00:00,,33.0,3
2020-01-16 06:00:00,,18.0,3
2020-01-16 07:00:00,,11.0,3
2020-01-16 08:00:00,,7.0,3
2020-01-16 09:00:00,661.06,9.0,3
2020-01-16 10:00:00,658.535,14.0,3
2020-01-16 11:00:00,659.075,26.0,3
2020-01-16 12:00:00,657.615,37.0,3
2020-01-16 13:00:00,659.85,49.0,3
2020-01-16 14:00:00,662.83,57.0,3
2020-01-16 15:00:00,666.23,63.0,3
